lit	lit:1	lit:2	lit:3	lit:4
p	u	o	c	_
""""	p	u	o	c
T	""""	p	u	o
h	T	""""	p	u
e	h	T	""""	p
p	e	h	T	""""
h	p	e	h	T
r	h	p	e	h
a	r	h	p	e
s	a	r	h	p
e	s	a	r	h
'	e	s	a	r
g	'	e	s	a
l	g	'	e	s
o	l	g	'	e
b	o	l	g	'
a	b	o	l	g
l	a	b	o	l
w	l	a	b	o
a	w	l	a	b
r	a	w	l	a
m	r	a	w	l
i	m	r	a	w
n	i	m	r	a
g	n	i	m	r
'	g	n	i	m
s	'	g	n	i
.	s	'	g	n
.	.	s	'	g
.	.	.	s	'
"	.	.	.	s
"	"	.	.	.
6	"	"	.	.
0	6	"	"	.
8	0	6	"	"
6	8	0	6	"
V	6	8	0	6
i	V	6	8	0
r	i	V	6	8
g	r	i	V	6
i	g	r	i	V
n	i	g	r	i
i	n	i	g	r
a	i	n	i	g
t	a	i	n	i
o	t	a	i	n
I	o	t	a	i
n	I	o	t	a
v	n	I	o	t
e	v	n	I	o
s	e	v	n	I
t	s	e	v	n
i	t	s	e	v
g	i	t	s	e
a	g	i	t	s
t	a	g	i	t
e	t	a	g	i
G	e	t	a	g
l	G	e	t	a
o	l	G	e	t
b	o	l	G	e
a	b	o	l	G
l	a	b	o	l
W	l	a	b	o
a	W	l	a	b
r	a	W	l	a
m	r	a	W	l
i	m	r	a	W
n	i	m	r	a
g	n	i	m	r
S	g	n	i	m
c	S	g	n	i
i	c	S	g	n
e	i	c	S	g
n	e	i	c	S
t	n	e	i	c
i	t	n	e	i
.	i	t	n	e
.	.	i	t	n
.	.	.	i	t
"	.	.	.	i
"	"	.	.	.
6	"	"	.	.
0	6	"	"	.
8	0	6	"	"
7	8	0	6	"
G	7	8	0	6
l	G	7	8	0
o	l	G	7	8
b	o	l	G	7
a	b	o	l	G
l	a	b	o	l
w	l	a	b	o
a	w	l	a	b
r	a	w	l	a
m	r	a	w	l
i	m	r	a	w
n	i	m	r	a
g	n	i	m	r
y	g	n	i	m
o	y	g	n	i
u	o	y	g	n
t	u	o	y	g
u	t	u	o	y
b	u	t	u	o
e	b	u	t	u
p	e	b	u	t
a	p	e	b	u
r	a	p	e	b
o	r	a	p	e
d	o	r	a	p
y	d	o	r	a
y	y	d	o	r
o	y	y	d	o
u	o	y	y	d
w	u	o	y	y
i	w	u	o	y
l	i	w	u	o
l	l	i	w	u
e	l	l	i	w
n	e	l	l	i
j	n	e	l	l
o	j	n	e	l
y	o	j	n	e
.	y	o	j	n
.	.	y	o	j
.	.	.	y	o
"	.	.	.	y
"	"	.	.	.
6	"	"	.	.
0	6	"	"	.
8	0	6	"	"
8	8	0	6	"
O	8	8	0	6
n	O	8	8	0
e	n	O	8	8
-	e	n	O	8
E	-	e	n	O
y	E	-	e	n
e	y	E	-	e
d	e	y	E	-
G	d	e	y	E
o	G	d	e	y
l	o	G	d	e
f	l	o	G	d
e	f	l	o	G
r	e	f	l	o
:	r	e	f	l
D	:	r	e	f
o	D	:	r	e
n	o	D	:	r
'	n	o	D	:
t	'	n	o	D
d	t	'	n	o
a	d	t	'	n
r	a	d	t	'
e	r	a	d	t
t	e	r	a	d
e	t	e	r	a
l	e	t	e	r
l	l	e	t	e
m	l	l	e	t
e	m	l	l	e
a	e	m	l	l
b	a	e	m	l
o	b	a	e	m
u	o	b	a	e
t	u	o	b	a
g	t	u	o	b
l	g	t	u	o
o	l	g	t	u
b	o	l	g	t
.	b	o	l	g
.	.	b	o	l
.	.	.	b	o
"	.	.	.	b
"	"	.	.	.
6	"	"	.	.
0	6	"	"	.
8	0	6	"	"
9	8	0	6	"
m	9	8	0	6
a	m	9	8	0
n	a	m	9	8
m	n	a	m	9
a	m	n	a	m
d	a	m	n	a
e	d	a	m	n
g	e	d	a	m
l	g	e	d	a
o	l	g	e	d
b	o	l	g	e
a	b	o	l	g
l	a	b	o	l
w	l	a	b	o
a	w	l	a	b
r	a	w	l	a
m	r	a	w	l
i	m	r	a	w
n	i	m	r	a
g	n	i	m	r
a	g	n	i	m
h	a	g	n	i
a	h	a	g	n
i	a	h	a	g
r	i	a	h	a
b	r	i	a	h
r	b	r	i	a
a	r	b	r	i
i	a	r	b	r
n	i	a	r	b
e	n	i	a	r
d	e	n	i	a
t	d	e	n	i
h	t	d	e	n
e	h	t	d	e
o	e	h	t	d
r	o	e	h	t
y	r	o	e	h
.	y	r	o	e
.	.	y	r	o
.	.	.	y	r
"	.	.	.	y
"	"	.	.	.
"	"	"	.	.
"	"	"	"	.
[	"	"	"	"
6	[	"	"	"
0	6	[	"	"
9	0	6	[	"
0	9	0	6	[
r	0	9	0	6
o	r	0	9	0
w	o	r	0	9
s	w	o	r	0
x	s	w	o	r
1	x	s	w	o
c	1	x	s	w
o	c	1	x	s
l	o	c	1	x
u	l	o	c	1
m	u	l	o	c
n	m	u	l	o
s	n	m	u	l
]	s	n	m	u
